Data,Quant. de Vendas,Forma de Pagamento,Loja,GMV,Estado,Tipo de Vendas
1/1/2020,1,TipoA,Parceiro5,"R$3,360.92",Minas Gerais,Não Promocional
1/1/2020,5,TipoB,Parceiro5,R$830.64,São Paulo,Não Promocional
1/1/2020,2,TipoB,Parceiro4,"R$1,625.44",São Paulo,Não Promocional
1/1/2020,2,TipoA,Parceiro6,"R$1,436.95",Rio Grande do Sul,Não Promocional
1/1/2020,5,TipoB,Parceiro1,"R$2,776.41",Minas Gerais,Não Promocional
1/1/2020,1,TipoB,Parceiro1,"R$2,605.39",Distrito Federal,Não Promocional
1/1/2020,1,TipoA,Parceiro2,R$20.88,Distrito Federal,Não Promocional
1/1/2020,2,TipoA,Parceiro2,R$404.46,São Paulo,Não Promocional
1/1/2020,4,TipoA,Parceiro2,"R$2,081.05",Distrito Federal,Não Promocional
1/1/2020,2,TipoA,Parceiro3,"R$1,935.23",Rio Grande do Sul,Não Promocional
1/1/2020,5,TipoA,Parceiro5,"R$3,963.12",Rio de Janeiro,Não Promocional
1/1/2020,2,TipoB,Parceiro6,"R$2,058.81",Distrito Federal,Não Promocional
1/1/2020,3,TipoA,Parceiro2,"R$1,121.61",Distrito Federal,Não Promocional
1/1/2020,5,TipoA,Parceiro1,"R$3,909.23",São Paulo,Não Promocional
1/1/2020,4,TipoA,Parceiro2,"R$2,428.49",Minas Gerais,Não Promocional
1/1/2020,1,TipoB,Parceiro2,"R$3,532.49",Rio Grande do Sul,Não Promocional
1/1/2020,4,TipoB,Parceiro4,"R$3,472.95",Rio de Janeiro,Promocional
1/1/2020,4,TipoB,Parceiro5,"R$2,411.60",Minas Gerais,Promocional
1/1/2020,4,TipoB,Parceiro7,R$85.56,Distrito Federal,Não Promocional
1/1/2020,1,TipoA,Parceiro2,"R$2,212.36",Minas Gerais,Não Promocional
1/1/2020,5,TipoA,Parceiro3,R$949.63,São Paulo,Não Promocional
1/1/2020,5,TipoA,Parceiro2,"R$2,006.46",Rio de Janeiro,Não Promocional
1/1/2020,4,TipoA,Parceiro4,"R$1,366.44",Rio Grande do Sul,Não Promocional
1/1/2020,3,TipoB,Parceiro4,R$682.86,Distrito Federal,Não Promocional
1/1/2020,1,TipoB,Parceiro1,"R$2,132.19",Rio de Janeiro,Não Promocional
1/1/2020,3,TipoA,Parceiro4,"R$2,900.69",Rio Grande do Sul,Não Promocional
1/1/2020,1,TipoA,Parceiro7,"R$1,576.33",Distrito Federal,Não Promocional
1/1/2020,1,TipoB,Parceiro5,R$730.00,Rio Grande do Sul,Não Promocional
1/1/2020,4,TipoA,Parceiro6,"R$3,777.29",São Paulo,Não Promocional
1/1/2020,5,TipoA,Parceiro7,"R$3,001.04",Rio de Janeiro,Não Promocional
1/1/2020,1,TipoA,Parceiro2,"R$2,376.18",São Paulo,Não Promocional
1/1/2020,5,TipoA,Parceiro7,"R$1,557.99",Rio de Janeiro,Não Promocional
1/1/2020,5,TipoB,Parceiro7,"R$1,697.87",Rio de Janeiro,Não Promocional
1/1/2020,3,TipoB,Parceiro7,R$790.27,Rio Grande do Sul,Não Promocional
1/1/2020,5,TipoA,Parceiro5,R$223.76,Distrito Federal,Não Promocional
1/1/2020,1,TipoB,Parceiro3,"R$3,025.64",Minas Gerais,Não Promocional
1/1/2020,14,TipoB,Parceiro7,R$18.35,Distrito Federal,Não Promocional
1/1/2020,16,TipoA,Parceiro5,"R$2,329.77",São Paulo,Não Promocional
1/1/2020,17,TipoA,Parceiro3,"R$1,610.71",Minas Gerais,Não Promocional
1/1/2020,10,TipoA,Parceiro4,"R$1,258.62",Amapá,Não Promocional
